name	female_count	male_count
adeley	20	0
adelfa	345	0
adelfina	6	0
adelfo	0	63
adelheid	108	0
adeli	57	0
adelia	4927	0
adeliah	14	0
adelice	5	0
adelicia	49	0
adelie	418	0
adelilah	5	0
adelin	380	0
adelina	10226	0
adelinah	11	0
adelind	41	0
adeline	51258	26
adelinn	19	0
adelinne	25	0
adelino	0	58
adelis	67	0
adelisa	149	0
adelise	154	0
adelita	1659	0
adeliz	83	0
adell	6151	1049
adella	5371	0
adelle	5083	0
adellia	5	0
adelline	8	0
adellyn	63	0
adellynn	6	0
adelma	113	0
adelmira	26	0
adelmo	0	13
adelore	0	5
adelphia	11	0
adely	123	0
adelya	5	0
adelyn	12977	6
adelyna	86	0
adelyne	649	0
adelynn	7046	0
adelynne	506	0
adelys	5	0
adem	0	866
ademar	0	6
ademide	5	40
ademir	0	23
ademola	0	131
aden	548	18346
adena	1658	0
adene	44	0
adenike	220	0
adeniyi	0	20
adenn	0	12
adeola	345	31
adeolu	0	18
adeoluwa	0	54
adeon	0	6
ader	233	0
adera	10	0
aderemi	0	6
aderinsola	30	0
adero	5	0
aderonke	23	0
aderyn	34	0
adesewa	12	0
adesh	0	23
adesha	5	0
adesina	5	0
adesire	5	0
adesola	21	0
adessa	349	0
adesuwa	109	0
adetayo	0	12
adetokunbo	5	90
adetola	0	5
adeva	5	0
adewale	0	150
adey	7	0
adeyemi	0	109
adeyinka	5	5
adger	0	92
adgie	7	5
adham	0	693
adhara	34	0
adharsh	0	16
adharv	0	9
adhav	0	35
adheesh	0	5
adhem	0	11
adhemar	0	36
adhira	89	0
adhiraj	0	18
adhithi	37	0
adhithya	0	6
adhitya	0	12
adhley	7	0
adhrit	0	198
adhrith	0	31
adhvaith	0	33
adhvik	0	190
adhvika	29	0
adhya	269	0
adhyan	0	11
adi	754	530
adia	2641	0
adiah	125	0
adiam	18	0
adian	0	1011
adiana	292	0
adianey	6	0
adianez	58	0
adianna	212	0
adib	0	206
adiba	124	0
adidas	0	16
adie	156	16
adiel	93	1463
adiela	29	0
adiella	43	0
adielle	10	0
adien	0	388
adijah	6	0
adika	0	13
adikus	0	5
adil	0	1189
adila	46	0
adilah	24	0
adilee	189	0
adileigh	31	0
adilen	61	0
adilena	32	0
adilene	5122	7
adileni	52	0
adilenne	158	0
adileny	60	0
adiley	17	0
adilia	20	0
adiline	21	0
adilson	0	56
adilyn	1625	0
adilyne	42	0
adilynn	1731	0
adilynne	93	0
adin	86	2675
adina	6031	0
adinah	47	0
adine	275	0
adir	0	171
adira	481	0
adirah	5	0
adis	12	222
adisa	89	64
adisen	179	0
adish	0	6
adison	3021	627
adisson	81	5
adisyn	1018	0
adisynn	73	0
adisynne	50	0
adit	0	264
adith	0	103
adithi	330	0
adithri	17	0
adithya	0	515
aditi	2930	0
aditri	139	0
aditya	5	4520
adiv	0	20
adiva	83	0
adiya	153	0
adiyah	48	0
adiyan	0	25
adja	149	0
adji	5	0
adjoa	98	0
adjua	5	0
adlai	56	494
adlan	0	5
adlar	0	5
adlea	5	0
adlean	138	0
adlee	534	0
adlei	7	0
adleigh	722	0
adlemi	21	0
adlen	23	0
adlena	47	0
adlene	177	0
adler	181	1710
adley	1976	331
adlia	0	11
adlie	36	0
adlih	20	0
adlin	54	0
adlina	5	0
adline	1177	0
adly	19	0
adlyn	135	0
adlynn	74	0
adma	0	23
admir	0	184
admiral	0	255
admire	58	5
adn	5	0
adna	395	12
adnaan	0	49
adnan	0	2099
adnel	0	5
adner	0	12
adniel	0	10
adnrea	5	0
adnrew	0	39
ado	0	26
adolf	0	1394
adolfo	10	15311
adoline	11	0
adolph	20	18711
adolpha	5	0
adolphe	0	295
adolphine	18	0
adolpho	0	227
adolphus	0	4096
adom	0	159
adomas	0	6
adon	0	691
adona	35	0
adonai	162	600
adonay	0	334
adoncia	5	0
adones	0	5
adoni	0	85
adonia	321	0
adoniah	20	35
adonias	0	137
adonica	381	0
adonijah	26	358
adoniram	0	31
adonis	77	8010
adoniyah	0	6
adoniz	0	5
adonna	623	0
adonnis	0	374
adontae	0	7
adonte	0	172
adonus	0	70
adony	0	16
adonya	14	0
adonys	0	133
ador	5	0
adora	1623	0
adorabella	27	0
adorable	10	0
adorae	5	0
adorah	21	0
adoraim	0	6
adore	214	19
adoree	33	0
adoria	92	0
adorian	0	85
adorion	0	6
